"gene","HR","z","pvalue","lower","upper"
"CCL3",0.549777365146986,-2.16875787159805,0.0301010711833363,0.320174565643917,0.944032361284174
"IDS",0.589149335811407,-2.16046494461277,0.0307366945481876,0.364564949736784,0.952085328382847
"TNFRSF1B",0.670097327857703,-2.15949621717893,0.0308116904914365,0.465950960641625,0.963686024348374
"ITGAL",0.741837597786609,-2.15160792586754,0.0314282473592909,0.565157227504723,0.973752072356198
"SELPLG",0.659270106340148,-2.14938075020868,0.031604230110998,0.45089147537627,0.963950522131837
"FUT7",0.310372762003392,-2.13358065203396,0.0328771231633127,0.105953266516408,0.909186234279021
"CDIPT",0.387151556415317,-2.1267232812812,0.0334430819457624,0.161464419593319,0.928293230250492
"HS6ST2",1.22162189102703,2.12640486396377,0.0334695631213708,1.01579211426408,1.46915891911372
"FNTB",0.595043257592194,-2.12360938293078,0.0337028203033952,0.368527900581487,0.960786083895534
"ALDH18A1",0.412254435242275,-2.11708425403893,0.0342526977996873,0.181506145682622,0.936352423427603
"CDS2",0.571201151142858,-2.09810565665223,0.0358958129877187,0.33852553497375,0.96379954053459
"AOX1",0.399986512997034,-2.09552784685179,0.0361240956813836,0.169759924377391,0.942443931724764
"SELL",0.665170455905176,-2.0878429696535,0.0368120020286501,0.453639790414767,0.975337139197076
"CYP7B1",1.29006274170343,2.08221455554007,0.0373228763388891,1.01506572011744,1.63956071468833
"CD2",0.728950873822993,-2.06196514415652,0.0392110545756828,0.539744909964211,0.984482422414209
"FBP2",1.57745624347384,2.05901734737814,0.0394925767034276,1.02217005413674,2.43439747623608
"VNN1",1.7256457847989,2.05610639075855,0.0397722623853062,1.02584023635215,2.90284321970383
"ENOSF1",1.681192452839,2.05534434085311,0.0398457573856856,1.02440103285918,2.75908357451972
"GUCY1A2",1.3672634547527,2.05097884207413,0.040269007237064,1.01397820137131,1.84363860305289
"SIRPG",0.589525131728547,-2.0360194834137,0.0417483988736372,0.354468406315573,0.980453757647884
"NAGA",0.542184616697699,-2.02064511805013,0.0433165148626485,0.299418130966971,0.981784762446661
"B3GNT4",1.35835531839421,2.0194119754221,0.043444417886397,1.00905696333979,1.828567898588
"TNF",0.411665038243504,-2.01918409405785,0.0434680889069557,0.173937372814145,0.974305297189381
"ME1",1.23910409009679,2.01884704329015,0.0435031197987063,1.00627259409947,1.52580817076572
"NT5E",0.767951020844156,-2.00807344912928,0.0446354872049081,0.593491120833986,0.993694344722215
"ICAM3",0.598383883402561,-2.00355889329656,0.0451173329556041,0.362086565564515,0.988888586235415
"GPD1L",0.606212143886737,-2.00295293322955,0.0451823406510462,0.371462301333627,0.989314829732055
"SGPP2",1.73160521303964,1.99865338737333,0.0456458696734131,1.01068502360077,2.9667567479564
"PRIM1",1.55082872271701,1.98266630541539,0.0474047156600409,1.0050369574195,2.39301620646791
"IDH1",1.54830681272932,1.98201762016744,0.0474772685990781,1.00487609016639,2.3856214809003
